,movie_id,budget,title,tagline,release_date,runtime,genres,production_companies,production_countries,popularity,revenue,vote_average,vote_count,cast,crew,keywords,original_language,overview,spoken_languages
0,116745,90000000,The Secret Life of Walter Mitty,"Stop Dreaming, Start Living",12/18/2013,114.0,"['Adventure', 'Comedy', 'Drama', 'Fantasy']","['New Line Cinema', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Samuel Goldwyn Films', 'Big Screen Productions', 'Red Hour Films', 'TSG Entertainment', 'Down Productions']",['United States of America'],43.348022,188133322,7.0,3144,"['Ben Stiller', 'Kristen Wiig', 'Patton Oswalt', 'Shirley MacLaine', 'Adam Scott', 'Kathryn Hahn', 'Sean Penn', 'Terence Bernie Hines', 'Gurdeep Singh', 'Alex Anfanger', 'Gary Wilmes', 'Adrian Martinez', 'Jon Daly']","['Ben Stiller', 'Ben Stiller', 'Stuart Cornfeld', 'John Goldwyn', 'Samuel Goldwyn Jr.']","['himalaya', 'photographer', 'magazine', 'iceland', 'daydream', 'photograph', 'shark', 'fired from the job', 'skateboard', 'dreamer', 'online dating', 'daydreaming']",en,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,['English']
1,3291,7000000,"Good Night, and Good Luck.",They took on the Government with nothing but the truth.,9/16/2005,93.0,"['Drama', 'History']","['2929 Productions', 'Participant Productions', 'Warner Independent Pictures (WIP)', 'Davis Films', 'Section Eight Productions', 'Redbus Pictures', 'Tohokushinsha']","['France', 'Japan', 'United Kingdom', 'United States of America']",17.717681,54600000,6.8,273,"['David Strathairn', 'Jeff Daniels', 'Alex Borstein', 'Rose Abdoo', 'Dianne Reeves', 'Tate Donovan', 'Reed Diamond', 'Matt Ross', 'Patricia Clarkson', 'Robert Downey Jr.', 'George Clooney', 'Tom McCarthy', 'Glenn Morshower', 'Don Creech', 'Grant Heslov', 'Robert John Burke', 'Ray Wise', 'Robert Knepper', 'Helen Slayton-Hughes', 'Frank Langella', 'Peter Jacobson']","['George Clooney', 'Grant Heslov']","['telecaster', 'communist', 'political activism', 'tv show', 'politician', 'government', 'anti-communism']",en,"The story of journalist, Edward R Murrow's stand against Senator McCarthy's anti-communist witch-hunts in the early 1950s.",['English']
2,12498,1000000,Sling Blade,A simple man. A difficult choice.,8/30/1996,135.0,['Drama'],['Miramax Films'],['United States of America'],14.805264000000001,24475416,7.4,231,"['Billy Bob Thornton', 'Dwight Yoakam', 'J. T. Walsh', 'John Ritter', 'Lucas Black', 'Robert Duvall', 'Natalie Canerday', 'James Hampton', 'Christine Renee Ward', 'Jim Jarmusch', 'Vic Chesnutt', 'Rick Dial', 'Brent Briscoe', 'Tim Holder', 'Bruce Hampton', 'Mickey Jones', 'Ian Moore']","['Billy Bob Thornton', 'David L. Bushell', 'Brandon Rosser']","['independent film', 'repair shop', 'southern', 'death threat', 'story', 'religious art', 'father figure']",en,"Karl Childers is a mentally disabled man who has been in the custody of the state mental hospital since the age of 12 for killing his mother and her lover. Although thoroughly institutionalized, Karl is deemed fit to be released into the outside world.",['English']
3,312221,37000000,Creed,Your legacy is more than a name,11/25/2015,133.0,['Drama'],"['New Line Cinema', 'Warner Bros.', 'Metro-Goldwyn-Mayer (MGM)', 'Chartoff Winkler Productions']",['United States of America'],57.773582999999995,173567581,7.3,1915,"['Michael B. Jordan', 'Sylvester Stallone', 'Graham McTavish', 'Tessa Thompson', 'Phylicia Rashād', 'Hans Marrero', 'Will Blagrove', 'Tony Bellew', 'Ritchie Coster', ""Jacob 'Stitch' Duran"", 'Malik Bazille', 'Wood Harris', 'Gabe Rosado', 'Buddy Osborn', 'Rupal Pujara', 'Liev Schreiber', 'Andre Ward', ""Ricardo 'Padman' McGill"", 'Brian Anthony Wilson', 'Joey Eye', 'Johanna Tolentino', 'Tone Trump', 'Kash Goins', 'Michael Barker', ""Clare O'Malley"", 'Kevin King Templeton', 'Roy James Wilson', 'Mauricio Ovalle', 'Mark Smith', 'Josue Rivera', 'Derrick Webster', 'Manny Ayala', 'Anthony Martins', 'Ricardo Vera', 'Shawn Clark', 'Christian D. Ellison', 'Frank Pesce', 'Robert Sale', 'Richard Lyntton', 'Kathleen M. Deegan', 'Marquise Noel', 'Elvis Grant', 'Max Kellerman', 'Jim Lampley', 'Michael Buffer', 'Michael Wilbon', 'Tony Kornheiser', 'Hannah Storm', 'Alex Henderson', 'Khareem Hinton', 'Noah Coogler', 'Nelson Bonilla', 'Troy Faruk', 'Angela Davis', 'Claire Bronson', 'Deborah Ingersoll', 'Robert Douglas', 'Troy K. Weston', 'Ludwig Göransson', 'Moses Sumney', 'Kenneth Martin', 'Jermaine Holt', 'Horace Knight', 'Sli Lewis', 'Brionna Maria Lynch', 'Jalil Jay Lynch', 'Zedric Harris', 'Christopher Jon Gombos', 'Jeff Ward', 'Terry Lee Fields II', 'Chandra Anderson', 'Maria Breyman', 'Stephanie Damiano', 'Kerry Dutka']","['Irwin Winkler', 'Sylvester Stallone', 'William Chartoff', 'Kevin King Templeton', 'Charles Winkler', 'Robert Chartoff', 'David Winkler', 'Ryan Coogler']","['underdog', 'sport', 'spin off', 'underground fighting', 'motivational speaker', 'boxing']",en,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",['English']
4,9279,60000000,Jingle All the Way,"Two Dads, One Toy, No Prisoners.",11/15/1996,89.0,"['Family', 'Comedy']","['Twentieth Century Fox Film Corporation', '1492 Pictures']",['United States of America'],22.501041,129832389,5.5,575,"['Arnold Schwarzenegger', 'Phil Hartman', 'Sinbad', 'Rita Wilson', 'Jake Lloyd', 'Martin Mull', 'Laraine Newman', 'Jim Belushi', 'E.J. De la Pena', 'Robert Conrad', 'Justin Chapman', 'Harvey Korman', 'Richard Moll', 'Daniel Riordan', 'Chris Parnell', 'Patrick Richwood', 'Kate McGregor-Stewart', 'Danny Woodburn', 'Paul Wight', 'Curtis Armstrong']","['Chris Columbus', 'Mark Radcliffe', 'Brian Levant', 'Michael Barnathan', 'Richard Vane']","['holiday', 'christmas party', 'santa claus', 'toy', 'puppet', 'christmas', 'turboman', 'navidad']",en,"Meet Howard Langston, a salesman for a mattress company is constantly busy at his job, and he also constantly disappoints his son, after he misses his son's karate exposition, his son tells Howard that he wants for Christmas is an action figure of his son's television hero, he tries hard to to make it up to him. Unfortunately for Howard, it is Christmas Eve, and every store is sold out of Turbo Man, now Howard must travel all over town and compete with everybody else to find a Turbo Man action figure.",['English']
5,15512,175000000,Monsters vs Aliens,"When aliens attack, monsters fight back.",3/19/2009,94.0,"['Animation', 'Family', 'Adventure', 'Science Fiction']",['DreamWorks Animation'],['United States of America'],36.167578000000006,381509870,6.0,1423,"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laurie', 'Paul Rudd', 'Kiefer Sutherland', 'Rainn Wilson', 'Will Arnett', 'Stephen Colbert', 'Jimmy Kimmel', 'Julie White', 'Jeffrey Tambor', 'Amy Poehler', 'Ed Helms', 'Renée Zellweger', 'Sean Bishop', 'Rich Dietl', 'Rob Letterman', 'Tom McGrath', 'Chris Miller', 'Mike Mitchell', 'Kent Osborne', 'Latifa Ouaou', 'Geoffrey Pomeroy', 'David P. Smith', 'Lisa Stewart', 'Conrad Vernon', 'John Krasinski', 'Stephen Kearin']","['Conrad Vernon', 'Rob Letterman']","['alien', 'giant robot', 'duringcreditsstinger']",en,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",['English']
6,10762,19000000,Without a Paddle,"The call of the wild, the thrill of adventure. The mistake of a lifetime.",8/20/2004,95.0,"['Action', 'Adventure', 'Comedy', 'Thriller']","['Paramount Pictures', 'De Line Pictures']",['United States of America'],8.584398,69631118,5.3,214,"['Seth Green', 'Matthew Lillard', 'Dax Shepard', 'Antony Starr', 'Andrew Hampton', 'Jarred Rumbold', 'Matthew Price', 'Carl Snell', 'Nadine Bernecker', 'David Stott', 'Danielle Cormack', 'Bonnie Somerville', 'Scott Adsit', 'Morgan Reese Fairhead', 'Bruce Phillips', 'Ray Baker', 'Gregory Cruz', 'Kate Harcourt', 'Liddy Holloway', 'Mia Blake', 'Burt Reynolds', 'Christina Moore']","['Steven Brill', 'Donald De Line']","['death of a friend', 'treasure hunt']",en,"Three friends, whose lives have been drifting apart, reunite for the funeral of a fourth childhood friend. When looking through their childhood belongings, they discover a trunk which contained details on a quest their friend was attempting. It revealed that he was hot on the trail of the $200,000 that went missing with airplane hijacker D.B. Cooper in 1971. They decide to continue his journey, but do not understand the dangers they will soon encounter.",['English']
7,42297,55000000,Burlesque,It takes a legend... to make a star,11/23/2010,119.0,"['Drama', 'Romance']",['Bedford Falls Productions'],['United States of America'],22.863516,89519773,6.9,573,"['Cher', 'Christina Aguilera', 'Eric Dane', 'Cam Gigandet', 'Julianne Hough', 'Alan Cumming', 'Peter Gallagher', 'Kristen Bell', 'Stanley Tucci', 'Dianna Agron', 'Glynn Turman', 'David Walton', 'Terrence Jenkins', 'Chelsea Traille', 'Tanee McCall', 'JaQuel Knight', 'Allison Kyler', 'Tyne Stecklein', 'Paula Van Oppen', 'Isabella Hofmann', 'James Brolin', 'Stephen Lee', 'Denise Faye', 'Baldeep Singh', 'Michael Landes', 'Wendy Benson-Landes', 'Tisha French', 'Katerina Mikailenko', 'Katelynn Tilley', 'Gwen Van Dam', 'Catherine Natale', 'Jonathon Trent', 'Blair Redford']","['Steve Antin', 'Donald De Line']","['musical', 'los angeles', 'burlesque', 'burlesque dancer']",en,"The Burlesque Lounge has its best days behind it. Tess, a retired dancer and owner of the venue, struggles to keep the aging theater alive, facing all kinds of financial and artistic challenges. With the Lounge's troupe members becoming increasingly distracted by personal problems and a threat coming from a wealthy businessman's quest to buy the spot from Tess, the good fortune seems to have abandoned the club altogether. Meanwhile, the life of Ali, a small-town girl from Iowa, is about to change dramatically. Hired by Tess as a waitress at the Lounge, Ali escapes a hollow past and quickly falls in love with the art of burlesque. Backed by newfound friends amongst the theater's crew, she manages to fulfill her dreams of being on stage herself. Things take a dramatic turn though when Ali's big voice makes her become the main attraction of the revue",['English']
8,8009,16000000,Highlander,There can be only one.,3/7/1986,116.0,"['Adventure', 'Action', 'Fantasy']","['Davis-Panzer Productions', 'Thorn EMI Screen Entertainment']","['United Kingdom', 'United States of America']",29.253833,5900000,6.8,624,"['Christopher Lambert', 'Roxanne Hart', 'Clancy Brown', 'Sean Connery', 'Beatie Edney', 'Alan North', 'Jon Polito', 'Sheila Gish', 'Hugh Quarshie', 'Peter Diamond', 'Billy Hartman', 'James Cosmo', 'Celia Imrie', 'Christopher Malcolm', 'Frank Dux', 'Ian Reddington']","['Russell Mulcahy', 'Peter S. Davis', 'William N. Panzer']","['new york', 'scotland', 'swordplay', 'sword', 'cut-off head', 'immortality']",en,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,['English']
9,767,250000000,Harry Potter and the Half-Blood Prince,Dark Secrets Revealed,7/7/2009,153.0,"['Adventure', 'Fantasy', 'Family']","['Warner Bros.', 'Heyday Films']","['United Kingdom', 'United States of America']",98.885637,933959197,7.4,5293,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Tom Felton', 'Michael Gambon', 'Jim Broadbent', 'Helena Bonham Carter', 'Robbie Coltrane', 'Maggie Smith', 'Alan Rickman', 'Timothy Spall', 'David Thewlis', 'Julie Walters', 'Matthew Lewis', 'Evanna Lynch', 'Bonnie Wright', 'Oliver Phelps', 'James Phelps', 'Mark Williams', 'Warwick Davis', 'Natalia Tena', 'Katie Leung', 'Dave Legeno', 'Geraldine Somerville', 'Helen McCrory', 'Freddie Stroma', 'David Bradley', 'Frank Dillane', 'Hero Fiennes-Tiffin', 'Gemma Jones', 'Afshan Azad', 'Shefali Chowdhury', 'Georgina Leonidas', 'Devon Murray', 'Anna Shaffer', 'Josh Herdman', 'Jamie Waylett', 'Scarlett Byrne', 'Jessie Cave', 'Louis Cordice', 'Alfie Enoch', 'Robert Knox', 'William Melling', 'Paul Ritter', 'Isabella Laughland', 'Ralph Ineson', 'Suzanne Toase', 'Rod Hunt', 'Elarica Gallacher']","['David Heyman', 'David Yates', 'David Barron', 'Tim Lewis']","['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']",en,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",['English']
